stop_name,stop_lat,stop_lon,vehicle_type
Alfheim,63.385488,10.585174,700
Alfheimsvingen,63.384268,10.327242,700
Amunddal,63.334486,10.481625,700
Anders Buens gate,63.438616,10.430228,700
Anders Søyseths veg,63.432493,10.510649,700
Angelltrøvegen,63.41684,10.461391,700
Ankers gate,63.42486,10.416855,700
Anton Grevskotts veg,63.403844,10.405273,700
Arne Bergsgårds veg,63.399332,10.438176,700
Arnt Smistads veg,63.395831,10.355797,700
Asbjørn Øverås veg,63.395267,10.424502,700
Askeladdvegen,63.426057,10.5079,700
Astronomvegen,63.392885,10.409524,700
Bakkegata,63.432418,10.407192,700
Baklia,63.416153,10.322638,700
Bedehuset,63.424328,10.673628,700
Bekkasinvegen,63.347088,10.346546,700
Belvedere,63.416109,10.376399,900
Berg,63.380724,10.166111,700
Berg Bedehus,63.376304,10.168866,700
Berg studentby,63.413529,10.416951,700
Berge,63.397185,10.533869,700
Bergheim,63.410465,10.457547,700
Bergheim snuplass,63.408785,10.456525,700
Bergsli gate,63.427029,10.367945,900
Biologen,63.440288,10.347254,700
Bjarne Ness' veg,63.403824,10.429692,700
Bjønnbakken,63.307002,10.253492,700
Bjøra,63.424237,10.127176,700
Bjørkmyr,63.3793,10.435075,700
Bjørndalsbrua,63.370956,10.363111,700
Bjørndalstoppen,63.370558,10.353316,700
Blakli,63.393359,10.437736,700
Bleksmarka,63.304872,10.249351,700
Blækkan,63.316536,10.060663,700
Bostad,63.324257,10.508691,700
Brandhaugen,63.370272,10.533134,700
Brandsegga,63.34037,10.56781,700
Brannåsen,63.306779,10.43423,700
Bratsberg Ridesenter,63.33982,10.46847,700
Bratsberg kirke,63.346504,10.477743,700
Bratsberg skole,63.349691,10.480308,700
Bratsberg østre,63.346988,10.450002,700
Bratsbergflata,63.346027,10.45642,700
Bratsbergvegen,63.405387,10.397457,700
Breidablikk,63.412383,10.376708,700
Breidablikk,63.412207,10.376791,900
Breidablikk skole,63.34996,10.360106,700
Breidablikkveien,63.411088,10.382874,700
Breivika,63.339592,10.562059,700
Brekka,63.315393,10.191777,700
Brian Smiths gate,63.434848,10.448025,700
Bromstadsvingen,63.427456,10.459367,700
Bromstadvegen,63.430307,10.452314,700
Brukseier Olsens vei,63.451001,10.313703,700
Brukseier Olsens vei 1,63.450485,10.314375,700
Brukseier Olsens vei 40,63.450497,10.30515,700
Brukseier Olsens vei 50,63.44984,10.304137,700
Brundalen,63.417896,10.485552,700
Brundalen sykehjem,63.41616,10.486131,700
Bruråk,63.349342,10.496136,700
Brålia,63.349016,10.186483,700
Brænne,63.446209,10.327513,700
Brøset Hageby,63.42203,10.450656,700
Brøsetflata,63.423466,10.454556,700
Buenget,63.384982,10.357122,700
Bukkvollan,63.407036,10.34765,700
Bukta,63.4243,10.13956,700
Buran,63.436276,10.424855,700
Buvik skole,63.309041,10.176572,700
Buvika,63.31083,10.171775,700
Buvikkrysset E39,63.306651,10.173957,700
By,63.425759,10.155302,700
By gård,63.42713,10.15969,700
Byaberget,63.427296,10.150199,700
Bygrensen,63.418824,10.37568,900
Byneset kirke,63.35784,10.118376,700
Bynesveien 16,63.429848,10.358641,700
Byåsen skole,63.399431,10.358369,700
Børsa,63.326156,10.069833,700
Børsa skole/Skaun ungdomsskole,63.326141,10.067232,700
Børskrysset,63.321358,10.061419,700
Børskrysset E39,63.321679,10.062919,700
C.J. Hambros vei,63.352837,10.366533,700
Carl Schjetnans veg,63.3713,10.398611,700
Casper Lundes veg,63.367789,10.357026,700
Cecilie Thoresens veg,63.427277,10.44048,700
Charlottenlund kirke,63.421593,10.494892,700
Charlottenlund vgs,63.420212,10.48479,700
Christian Jelstrups vei,63.42893,10.356032,700
Churchills veg,63.429226,10.486973,700
City Syd,63.360978,10.379237,700
City Syd E6,63.360983,10.372266,700
Clara Holsts veg,63.428779,10.435008,700
Dalen Hageby,63.437512,10.448049,700
Dalgård,63.395423,10.336909,700
Dalsaunevegen,63.394712,10.409066,700
Digre,63.343903,10.519491,700
Djupmyra,63.341347,10.373591,700
Dolpa,63.417389,10.539735,700
Dora,63.438544,10.419518,700
Dragvoll,63.40771,10.471403,700
Dronningens gate,63.431906,10.391454,700
Dronningens gate 62,63.43153,10.388027,900
Dybdahls veg,63.412955,10.413803,700
Dyre Halses gate,63.436929,10.414409,700
E-verket,63.398726,10.401019,700
Edgar B. Schieldrops veg,63.400571,10.43514,700
Edvard Bulls veg,63.410576,10.470265,700
Eggen,63.379791,10.124365,700
Einar Tambarskjelves gate,63.418557,10.396245,700
Einar Øfstis veg,63.40509,10.4331,700
Einbakken,63.386853,10.419703,700
Eklesbakken,63.35732,10.440936,700
Eklestrø,63.352776,10.435771,700
Ekra,63.315877,10.295948,700
Elistranda,63.334811,10.065464,700
Engelsås,63.376011,10.540148,700
Engstrømbakken,63.429319,10.5418,700
Esp meieri,63.327949,10.323648,700
Esp østre,63.39108,10.125945,700
Esplykkja,63.334592,10.332038,700
Espås,63.345016,10.54281,700
Fagerliveien,63.42742,10.355861,700
Fagervika,63.438538,10.347987,700
Fallet,63.364665,10.17029,700
Fergestad,63.306013,10.275004,700
Ferista,63.417875,10.338875,700
Ferstad,63.399616,10.348903,900
Festningsgata,63.42758,10.416348,700
Finnmyrveien,63.304411,10.15093,700
Fiolsvingen,63.409025,10.42028,700
Fjellsæter,63.414757,10.275042,700
Fjøslia,63.388695,10.358296,700
Fjøsvollan,63.35637,10.292624,700
Flakk,63.445187,10.194587,700
Flakk ferjekai,63.451172,10.199762,700
Flakkleiva,63.449847,10.217508,700
Flakkråa,63.445282,10.198601,700
Flaten,63.39734,10.555013,700
Flatjord,63.347353,10.509292,700
Flatåsen senter,63.37348,10.345699,700
Flatåstoppen,63.377678,10.332116,700
Folafoten,63.452381,10.235267,700
Folla,63.35491,10.442894,700
Forsøket,63.383109,10.371078,700
Fortuna,63.412521,10.155423,700
Fossegrenda,63.38897,10.399635,700
Framveien,63.41578,10.362682,700
Fredlyveien,63.337696,10.059909,700
Fykenborg,63.420115,10.554852,700
Gafset,63.324069,10.238609,700
Gammel-lina,63.383862,10.365115,700
Gammelgarden,63.308517,10.156887,700
Gartnerhallen,63.425234,10.464697,700
Geilmunnet,63.353858,10.309027,700
Gildheim,63.434481,10.460567,700
Gisvold,63.36743,10.442222,700
Gløshaugen,63.416499,10.407687,700
Gogstadbakken,63.450375,10.308714,700
Grandli,63.393754,10.544692,700
Granhaugan,63.370142,10.386256,700
Granåsen VM-anlegget,63.37875,10.317096,700
Granåsen gård,63.414162,10.471677,700
Granåsvegen,63.417324,10.45805,700
Grilstadkleiva,63.433553,10.500019,700
Grindan,63.382962,10.163684,700
Grønlia,63.415512,10.303579,700
Grøset søndre,63.441363,10.196187,700
